Sample	Total Reads	Total Passed QC	Mapped	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
REF0009-mgg-pbdrep | M301501.lib1	100.0	100.0	77.78267217726226	0.0	100.0	69.32110539426202	76.23162745560283	1.5510447216594214	1.693381625230043	0.6511273146507217
REF0009-mgg-pbdrep | M301502.lib1	100.0	100.0	0.5448509644314631	0.0	100.0	0.46634781598163766	0.508710746203378	0.036140218228085184	0.013350545731841844	0.005600440794289587
REF0009-mgg-pbdrep | M301503.lib1	100.0	100.0	84.54917624980041	0.0	100.0	74.83039665610062	83.352796217989	1.1963800318114222	2.1598918806760814	0.8607394467495755
REF0009-mgg-pbdrep | M301504.lib1	100.0	100.0	83.0553976410719	0.0	100.0	73.63392548670053	81.98295839503453	1.0724392460373713	2.0712335868235305	0.8297888002054726
REF0009-mgg-pbdrep | M301505.lib1	100.0	100.0	84.07449569537842	0.0	100.0	75.1044680763719	82.9724860889746	1.1020096064038112	1.9565600500513818	0.7732080844748364
REF0009-mgg-pbdrep | M301506.lib1	100.0	100.0	82.94831880979756	0.0	100.0	71.72092376759254	81.73826422308737	1.2100545867102028	2.3960066474591026	0.9225434456321487
REF0009-mgg-pbdrep | M301507.lib1	100.0	100.0	7.339406293631741	0.0	100.0	6.508754285303256	7.186053770360408	0.15335252327133211	0.15929960579705676	0.07196868983074577
REF0009-mgg-pbdrep | M301508.lib1	100.0	100.0	83.75132606188535	0.0	100.0	74.17522992654696	82.52443040131425	1.2268956605710968	2.136740863730618	0.8378596878430521
REF0009-mgg-pbdrep | M301509.lib1	100.0	100.0	84.64782001087532	0.0	100.0	75.02161812434977	83.3286359447596	1.3191840661157208	2.089005237062814	0.8560286206835943
REF0009-mgg-pbdrep | M301510.lib1	100.0	100.0	81.52174690094932	0.0	100.0	72.34713330459148	80.24640196358725	1.2753449373620782	1.9746482937243532	0.786516797009767
REF0009-mgg-pbdrep | M301511.lib1	100.0	100.0	29.850107888779654	0.0	100.0	27.282061022086417	29.437082743710523	0.41302514506913146	0.5101577721352915	0.2314116456160157
REF0009-mgg-pbdrep | M301512.lib1	100.0	100.0	0.8474143164664806	0.0	100.0	0.7267241868298931	0.8259607894673291	0.021453526999151405	0.034707538443653325	0.013703299968044353
REF0009-mgg-pbdrep | M301513.lib1	100.0	100.0	82.09913256545353	0.0	100.0	74.90091598001112	80.60213921309995	1.4969933523535925	1.4549057977925506	0.5931763807287427
REF0009-mgg-pbdrep | M301514.lib1	100.0	100.0	77.0555650496949	0.0	100.0	71.03242958344326	75.7673191076099	1.2882459420850125	1.2065594732245914	0.4850970586787587
REF0009-mgg-pbdrep | M301515.lib1	100.0	100.0	71.0356706401708	0.0	100.0	65.52649430823956	69.7435627792723	1.2921078608985015	1.0016290140989639	0.4192379447153252
